"name","position","department","degree"
"BIER,VICKI","Professor","Industrial &amp; Systems Engr","PHD 1983 Massachusetts Inst Of Tech"
"BILBIJA,KSENIJA","Professor","Spanish And Portuguese","PHD 1990 University of Iowa"
"BILDER,ANNE ELIZABETH","Adjunct Instructor","Law School","JD 1993 Univ of Wisconsin-Madison"
"BILEN-ROSAS,GUELAY","Asst Professor (Chs)","Anesthesiology","MD 1999 Johannes Gutenburg Univ Mainz"
"BINKLEY,JENNIFER L.","Clinical Asst Prof","Law School","JD 2001 Univ of Wisconsin-Madison"
"BIRD,IAN M.","Professor","Obstetrics &amp; Gynecology","PHD 1987 University of London"
"BIRKELAND,LAURA ELIZABETH","Sr Clin Genetic Couns","Pediatrics","MS 2007 Univ of Wisconsin-Madison"
"BIRN,RASMUS","Associate Professor","Psychiatry","PHD 1999 Medical College Of Wisconsin"
"BISHOP,LAUREN","Assistant Professor","Social Work","PHD 2015 University of Pittsburgh"
"BISHOP,MALACHY LIAM","Professor","Rehab Psychology &amp; Special Ed","PHD 2000 Univ of Wisconsin-Madison"
"BISHOP,SEAN","Faculty Associate","English","MFA 2010 University Of Houston"
"BITZAN,AMOS","Assistant Professor","History","PHD 2011 Univ of California Berkeley"
"BIXLER,LITZA","Adjunct Instructor","Dance",NA
"BJORK,CLAIRE","Lecturer","Curriculum And Instruction","PHD 2019 Univ of Wisconsin-Madison"
"BJORLING,DALE E.","Professor","Surgical Sciences","DVM 1978 Univ of IL at Urbana-Champaign"
"BLACK,KEVIN","Professor","Physics","PHD 2005 Boston University"
"BLACKWELL,HELEN E.","Professor","Chemistry","PHD 1999 California Institute of Tech"
"BLAIR,SETH","Professor","Integrative Biology","PHD 1982 Univ of California Berkeley"
"BLAKE,JOCELYN MARIE","Asst Professor (Chs)","Anesthesiology","MD 2006 Univ of Wisconsin-Madison"
"BLANCHARD,DEANNA S","Clinical Instructor","Nursing","MSN 2010 Edgewood College"
"BLASIUS,LESLIE","Professor","Mead Witter School Of Music","PHD 1994 Princeton University"
"BLAZEK,JENNIFER RUTH","Lecturer","Cals Academic Affairs","MS 2010 Univ of Wisconsin-Madison"
"BLEAM,WILLIAM","Professor","Soil Science","PHD 1984 Cornell University"
"BLEEDORN,JASON","Clinical Assoc Prof","Surgical Sciences","DVM 2005 Univ of IL at Urbana-Champaign"
"BLOCH,BRANDON","Assistant Professor","History","PHD 2018 Harvard University"
"BLOCK,PAUL","Associate Professor","Civil &amp; Environmental Engr","PHD 2006 Univ of Colorado at Denver"
"BLOCK,STEPHEN BENJAMIN","Faculty Associate","Chemistry","PHD 2012 Univ of Wisconsin-Madison"
"BLOCK,WALLY","Professor","Biomedical Engineering","PHD 1998 Stanford University"
"BLONIEN,NATALIE","Faculty Associate","Academic Affairs","DPT  Arcadia University"
"BLOOM,VICKI D","Assoc Lecturer","Information School","MS 1981 Wayne State University"
"BLUE,JACOB MICHAEL","Assoc Lecturer","Planning &amp; Landscape Arch","MS 2000 Univ of Wisconsin-Madison"
"BLUM,BARAK","Assistant Professor","Cell And Regenerative Biology","PHD 2009 Hebrew University of Jerusalem"
"BLUM,HANNAH BETH","Assistant Professor","Civil &amp; Environmental Engr","PHD  "
"BLYTHE,VERDA","Faculty Associate","Marketing","MS 2002 Univ of Wisconsin-Madison"
"BOADO,JOEL MAGDALES","Assoc Lecturer","Civil &amp; Environmental Engr","BS 2000 Univ of Wisconsin-Madison"
"BOCHSLER,PHILIP N","Clinical Professor","Madison Pathology/Toxicology","PHD 1989 Cornell University"
"BOCK,ADAM J","Lecturer","Management &amp; Human Resources","MBA 1991 Edgewood College"
"BOCK-SHONKWILER,JULIE ANN","Assoc Lecturer","Social Work","MSW 1988 Univ of Wisconsin-Madison"
"BOEDER,STEVE","Faculty Associate","Erdman Ctr For Ops &amp; Tech Mgmt","MBA 1991 Edgewood College"
"BOEKHOFF-FALK,GRACE ELISABETH","Associate Professor","Cell And Regenerative Biology","PHD 1991 Univ of Wisconsin-Madison"
"BOELDT,DEREK STEVEN","Assistant Professor","Obstetrics &amp; Gynecology","PHD 2013 Univ of Wisconsin-Madison"
"BOERSMA,JOHN","Assoc Lecturer","Political Science","PHD 2019 Louisiana State U-Baton Rouge"
"BOGGESS,JACQUELYN LOUISE","Lecturer","Social Work","JD 1982 Univ of Wisconsin-Madison"
"BOHLIG,AMANDA JAN","Clinical Adjunct Asst Prof","Volunteer Staff","PHD 2013 Univ of Wisconsin-Madison"
"BOLDYREV,STANISLAV","Professor","Physics","PHD 1999 Princeton University"
"BOLLING,BRADLEY WARREN","Associate Professor","Food Science","PHD 2007 Univ of Wisconsin-Madison"
"BOLT,DANIEL","Professor","Educational Psychology","PHD 1999 Univ of IL at Urbana-Champaign"
"BOLY,MELANIE","Assistant Professor","Neurology","PHD  Universite de l'Etat a Liege"
"BOMKAMP,TAMMY M.","Clinical Instructor","Nursing","MSN 2005 University of Phoenix"
"BONAMICI,CHLOE","Assistant Professor","Geoscience","PHD 2013 Univ of Wisconsin-Madison"
"BONAZZA,RICCARDO","Professor","Engineering Physics","PHD 1992 California Institute of Tech"
"BONK,NICOLE A.","Asst Professor (Chs)","Family Medicine","MD 2009 Loyola University of Chicago"
"BOOK,EMILY KATE","Adjunct Asst Prof","Engr Professional Development","PHD 2014 North Carolina State Univ"
"BOOSKE,JOHN H.","Professor","Electrical &amp; Computer Engr","PHD 1985 Univ of Michigan at Ann Arbor"
"BOOTH,ERIC","Lecturer","Academic Programs","PHD 2011 Univ of Wisconsin-Madison"
"BOOTHALINGAM,SRIRAM","Assistant Professor","Communication Sci &amp; Disorders","PHD 2014 Trinity Western University"
"BOROWSKI,KRZYSZTOF","Assoc Lecturer","German, Nordic &amp; Slavic","MA  "
"BOSE,TULIKA","Professor","Physics","PHD 2007 Columbia University"
"BOSWELL,EDWARD","Assoc Faculty Assoc","Soil Science","PHD 2018 Univ of Wisconsin-Madison"
"BOSWELL,LAIRD","Professor","History","PHD 1988 Univ of California Berkeley"
"BOTERO,BEATRIZ LUCIA","Lecturer","Integ Liberal St","PHD 2012 Univ of Wisconsin-Madison"
"BOTEZ,DAN","Professor","Electrical &amp; Computer Engr","PHD 1976 Univ of California Berkeley"
"BOTHAM,SARAH","Faculty Associate","Life Sciences Communication","BS 1983 Univ of Wisconsin-Whitewater"
"BOUCHER,JOSEPH WILLIAM","Senior Lecturer","Wisconsin School Of Business","JD 1977 Univ of Wisconsin-Madison"
"BOUGHTON,SARA","Assoc Lecturer","Social Work","MSSW 2005 Univ of Wisconsin-Madison"
"BOUNDY,TERI","Lecturer","Geoscience","PHD 1995 Univ of Michigan at Ann Arbor"
"BOURG HACKER,DOMINIQUE CORINE","Lecturer","Wisconsin School Of Business","PHD 2018 Univ of Wisconsin-Madison"
"BOUSQUET,GILLES","Professor","French And Italian","PHD 1983 U de Provence Aix-Marseille I"
"BOUTILIER,JUSTIN J.","Assistant Professor","Industrial &amp; Systems Engr","PHD  University of Toronto"
"BOW,LESLIE","Professor","English","PHD 1993 Univ of California Santa Cruz"
"BOWE,SCOTT","Professor","Forest &amp; Wildlife Ecology","PHD 2000 Virginia State University"
"BOWEN,JEFF J.","Adjunct Instructor","Law School","JD 2002 Yale University"
"BOWER,GLENN ROBERT","Faculty Associate","Mechanical Engineering","PHD 1992 Univ of Wisconsin-Madison"
"BOWERS,BARBARA","Professor","Nursing","PHD 1984 U of California San Francisco"
"BOWERS,KRISTI","Clinical Instructor","Surgical Sciences",NA
"BOWIE,KATHERINE A.","Professor","Anthropology","PHD 1988 University of Chicago"
"BOWLING,JOSEPH","Lecturer","English","PHD 2018 City University Of New York"
"BOWMAN,MATT","Senior Lecturer","Chemistry","PHD 2006 Univ of Wisconsin-Madison"
"BOYDSTON,AJ","Professor","Chemistry","PHD 2007 University of Texas at Austin"
"BRACE,CHRIS","Associate Professor","Radiology","PHD 2005 Univ of Wisconsin-Madison"
"BRACHMAN,LAURIE","Senior Lecturer","Marketing","MA 1990 Marquette University"
"BRADBURY,ELIZABETH","Assoc Lecturer","Botany","PHD 2014 Univ of Wisconsin-Madison"
"BRADEN,MAIA NYSTRUM","Honorary Assoc/Fellow","Surgery","MS 2006 Univ of Wisconsin-Madison"
"BRADFIELD,CHRISTOPHER","Professor","Oncology","PHD 1986 Univ of California Berkeley"
"BRADLEY,KRISTIN ANN","Professor (Chs)","Human Oncology","MD 1999 Univ of Wisconsin-Madison"
"BRANCH,KRISTIN","Faculty Associate","A.C. Nielsen Ctr For Mkt Rsch","MBA 2002 Univ of Wisconsin-Madison"
"BRANCHAW,JANET LYNN","Assistant Professor","Kinesiology","PHD 1996 Univ of Wisconsin-Madison"
"BRANDT,CURTIS R.","Professor","Ophthalmology&amp;Visual Sciences","PHD 1984 Columbia University"
"BRANTLY,SUSAN","Professor","German, Nordic &amp; Slavic","PHD 1987 Yale University"
"BRAR,VICTOR W.","Assistant Professor","Physics","PHD 2010 Univ of California Berkeley"
"BRASIER,ALLAN R","Professor","Medicine","MD 1983 U of California San Francisco"
"BRATZKE,LISA","Associate Professor","Nursing","PHD 2009 Univ of Wisconsin-Madison"
"BRAUER,MARKUS","Professor","Psychology","PHD 1994 Univ of Colorado at Boulder"
"BRAUNGINN,JENNY","Assoc Faculty Assoc","Social Work","MSSW 1982 Univ of Wisconsin-Madison"
"BRAUS,MICHAEL","Honorary Assoc/Fellow","Botany","PHD 2020 Univ of Wisconsin-Madison"
"BRAVER,JOSHUA","Assistant Professor","Law School","PHD 2017 Yale University"
"BRAY,LORA N","Assoc Lecturer","Information School","MLIS 1993 Northern Illinois University"
"BREEDLOVE,TRISTAN S","Clinical Instructor","Law School","JD 2010 "
"BREKKE,LINDSAY RAE","Assoc Lecturer","Social Work","MSW 2012 Univ of Wisconsin-Madison"
"BRENNAN,MICHAEL","Adjunct Professor","Real Estate &amp; Urgan Land Econ","BS 1979 University of Notre Dame"
"BRENNER,RACHEL","Professor","Ctr For Jewish St","PHD 1986 York University"
"BRESCHAK,JON THOMAS","Faculty Associate","Integrative Biology","PHD 2013 Univ of Wisconsin-Madison"
"BRESLOW,ROBERT","Assoc Professor (Chs)","Pharmacy","BS 1975 Univ of Wisconsin-Madison"
"BRESNICK,EMERY H.","Professor","Cell And Regenerative Biology","PHD 1989 Univ of Michigan at Ann Arbor"
"BREUER,RYAN MARK","Clinical Asst Prof","Madison Administration","DMV 2012 Univ of Wisconsin-Madison"
"BRIEL,HALEY ELIZABETH","Asst Faculty Assoc","Integrative Biology","MS 2018 Univ of Wisconsin-Madison"
"BRIGGS,KATHERINE CHAREK","Lecturer","Counseling Psychology","MA 2012 University of Texas at Austin"
"BRIGHOUSE,HARRY","Professor","Philosophy","PHD 1991 Univ of Southern California"
"BRINSKO,ELEANOR O","Assoc Lecturer","Information School","MLIS 2014 Univ of Wisconsin-Milwaukee"
"BRITLAND,KAREN","Professor","English","PHD 2000 University of Leeds"
"BRITO,TONYA","Professor","Law School","JD 1989 Harvard University"
"BROCKLISS,WILLIAM","Associate Professor","Classic &amp; Ancient Near E Stds","PHD 2012 Yale University"
"BROMAN,KARL","Professor","Biostatistics&amp;Med Informatics","PHD 1997 Univ of California Berkeley"
"BRONKHORST,CURT A.","Professor","Engineering Physics","PHD 1991 Massachusetts Inst Of Tech"
"BROOKE,STEVEN","Assistant Professor","Political Science","PHD 2015 University of Texas at Austin"
"BROOKS,ERIN GRACE","Professor (Chs)","Pathology&amp;Laboratory Medicine","MD 2005 Univ of Wisconsin-Madison"
"BROOKS,NATHANIEL PHILLIPS","Assoc Professor (Chs)","Neurological Surgery","MD 2002 Medical College Of Wisconsin"
"BROOKSBY,RICHARD","Clinical Instructor","Surgical Sciences","DVM 2011 Kansas State University"
"BROSSARD,DOMINIQUE","Professor","Life Sciences Communication","PHD 2002 Cornell University"
"BROUNTS,SABRINA HELEN","Clinical Professor","Surgical Sciences","DVM 1999 Utrecht University"
"BROW,DAVID A.","Professor","Biomolecular Chemistry","PHD 1986 Univ of California San Diego"
"BROWN,BRADFORD","Professor","Educational Psychology","PHD 1979 University of Chicago"
"BROWN,DAVID P.","Professor","Finance","PHD 1984 Stanford University"
"BROWN,DUSTIN","Assoc Lecturer","Law School","JD 2007 New York University"
"BROWN,HEIDI WENDELL","Assistant Professor","Obstetrics &amp; Gynecology","MD 2006 Brown University"
"BROWN,JOSHUA","Clinical Asst Prof","Kinesiology","PHD 2013 Univ of Southern California"
"BROWN,LAWRENCE T","Visiting Assoc Prof","Population Health Sciences","PHD 2010 Univ of Tennessee, Memphis"
"BROWN,MATTHEW","Asst Professor (Chs)","Surgery","PHD  Univ of Wisconsin-Madison"
"BROWN,MATTHEW","Assistant Professor","African Cultural Studies","PHD 2014 Univ of Wisconsin-Madison"
"BROWN,RANDALL TODD","Associate Professor","Family Medicine","MD 1996 University of Washington"
"BRUCE,MICHAEL JOHN","Assoc Lecturer","Social Work","MSSW 1999 Univ of Wisconsin-Madison"
"BRUNKARD,JACOB O","Assistant Professor","Genetics","PHD 2015 Univ of California Berkeley"
"BRUNOLD,THOMAS C","Professor","Chemistry","PHD 1997 Universitat Berne"
"BRYAN,GINA MARIE","Clinical Professor","Nursing","DNP 2012 Univ of Wisconsin-Madison"
"BRYAN,TOM","Asst Faculty Assoc","Forest &amp; Wildlife Ecology","MS 2015 Univ of Wisconsin-Madison"
"BUCCINI,STEFANIA","Professor","French And Italian","PHD 1988 Brown University"
"BUCHBERGER JONES,AMANDA RAE","Asst Faculty Assoc","Chemistry","DS 2018 Univ of Wisconsin-Madison"
"BUCK,DOUGLAS SCOTT","Adjunct Instructor","Law School","JD 1993 Univ of Wisconsin-Madison"
"BUCKINGHAM,TANYA MICHELLE ANDERSEN","Instructl Prg Mgr Iii","Geography","MA 2016 Alfred Adler Institute"
"BUDGE,STEPHANIE","Associate Professor","Counseling Psychology","PHD 2011 Univ of Wisconsin-Madison"
"BUGNI,TIM S","Professor","Pharmacy","PHD 2003 University of Utah"
"BUHL,TIM","Lecturer","Marketing","MBA 2003 Univ of Wisconsin-Madison"
"BUHNEMANN,GUDRUN","Professor","Asian Languages &amp; Cultures","PHD 1980 Universitat Wien"
"BUHR-LAWLER,MELANIE","Clinical Professor","Communication Sci &amp; Disorders","AUD 2006 University of Florida"
"BUISCH,DERRICK","Professor","Art","MFA 1996 Univ of Minnesota-Twin Cities"
"BULLER,ANDREW R","Assistant Professor","Chemistry","PHD 2013 Johns Hopkins University"
"BULLOCK,ERIKA C","Assistant Professor","Curriculum And Instruction","PHD 2013 Georgia State University"
"BULLTAIL,GRACE A.","Assistant Professor","Academic Programs","PHD 2017 Cornell University"
"BUNN,HENRY T.","Professor","Anthropology","PHD 1982 Univ of California Berkeley"
"BURDEN,BARRY","Professor","Political Science","PHD 1998 Ohio State University"
"BURGER,CORINNA","Associate Professor","Neurology","PHD 1994 Univ of Colorado at Denver"
"BURGESS,RICHARD","Professor Emer","Oncology","PHD 1969 Harvard University"
"BURGOYNE,JOSEPH","Assoc Lecturer","Accting &amp; Info Sys","MACC 2020 Univ of Wisconsin-Madison"
"BURIVALOVA,ZUZANA","Assistant Professor","Forest &amp; Wildlife Ecology","PHD 2015 Eidgenossische Tec Hoch Zurich"
"BURK,LINNEA","Clinical Assoc Prof","Psychology","PHD 1998 Auburn University"
"BURKARD,MARK EDWARD","Professor","Medicine","PHD 2001 University Of Rochester"
"BURKHOLDER,KRISTY","Faculty Associate","Human Development&amp;Family Study","PHD 2003 Univ of Wisconsin-Madison"
"BURKI,KRISTIN ANNE","Asst Faculty Assoc","Social Work","MSW 2004 Univ of Wisconsin-Madison"
"BURLINGHAM,WILLIAM J.","Professor","Surgery","PHD 1979 Syracuse University"
"BURNS,ERIK","Assoc Faculty Assoc","Pharmacy","EDD 2014 St Marys Univ of Minnesota"
"BURNS,MARGUERITE ELIZABETH","Associate Professor","Population Health Sciences","PHD 2008 Univ of Wisconsin-Madison"
"BURSTYN,JUDITH N.","Professor","Chemistry","PHD 1986 Univ of California Los Angeles"
"BURT,BRIAN A.","Assistant Professor","Ed Leadership&amp;Policy Analysis","PHD 2014 University of MI"
"BURTON,ALEXANDRA JANE","Clinical Asst Prof","Medical Sciences","PHD 2014 University of Georgia"
"BURTON,BRIANA","Associate Professor","Bacteriology","PHD 2003 Massachusetts Inst Of Tech"
"BURTON,ROBERT J","Assoc Lecturer","Political Science","PHD 2020 University of Notre Dame"
"BURTON,SKYLAR TREE","Visiting Asst Prof","Mathematics","PHD 2020 Univ of Tennessee, Knoxville"
"BUSH,LIZ","Assistant Professor","Family Medicine","MS  "
"BUSSE,WILLIAM W.","Professor","Medicine","MD 1966 Univ of Wisconsin-Madison"
"BUTCHER,KACIE LUCCHINI","Adjunct Asst Prof","History","MA 2019 Univ of Minnesota-Twin Cities"
"BUTCHER,SAMUEL E.","Professor","Biochemistry","PHD 1995 University of Vermont"
"BUTLER,JEFFREY DAVID","Lecturer","Art","BS 2018 Univ of Wisconsin-Madison"
"BUTLER,MARGARET","Associate Professor","Mead Witter School Of Music","PHD 2000 Ohio State University"
"BYKHOVSKAYA,ANNA","Assoc Lecturer","Economics","PHD 2019 Yale University"
"BYKOVSKYI,ANDREA","Assistant Professor","Nursing","PHD 2014 Univ of Wisconsin-Madison"
"BYKOWSKI,ERIN F.","Lecturer","Consumer Science","MA  "
"BYRD-MCPHEE,MICHELE","Adjunct Instructor","Dance","MS 2009 Drexel University"
"CABRERA,VICTOR E","Professor","Animal And Dairy Sciences","PHD 2004 University of Florida"
"CAHILL,MICHAEL EDWARD","Assistant Professor","Comparative Biosciences","PHD 2011 Northwestern University"
"CAHILL,NICK","Professor","Art History","PHD 1991 Univ of California Berkeley"
"CAI,JIN-YI","Professor","Computer Sciences","PHD 1986 Cornell University"
"CAI,WEIBO","Professor","Radiology","PHD 2004 Univ of California San Diego"
"CALDARARU,ANDREI","Professor","Mathematics","PHD 2000 Cornell University"
"CALDERON,CLAUDIA IRENE","Assoc Faculty Assoc","Horticulture","PHD 2010 Univ of Wisconsin-Madison"
"CALDERON,JAVIER","Professor","Mead Witter School Of Music","MM 1975 Univ Of NC At Greensboro"
"CALDWELL,MICHAEL F.","Senior Lecturer","Psychology","PHD 1988 University of Denver"
"CALHOUN,JOSHUA","Associate Professor","English","PHD 2012 University of Delaware"
"CALLACI,EMILY","Associate Professor","History","PHD 2012 Northwestern University"
"CALOMINO,SALVATORE","Associate Professor","German, Nordic &amp; Slavic","PHD 1982 Harvard University"
"CAMAL,JEROME SEBASTIEN","Associate Professor","Anthropology","PHD 2011 Washington University"
"CAMARA,NJAMEH MARIA","Lecturer","Theatre &amp; Drama","MFA  Univ of California San Diego"
"CAMERON,KENNETH","Professor","Botany","PHD 1996 Univ Of NC At Chapel Hill"
"CAMERON,STARR","Clinical Asst Prof","Medical Sciences","BVM 2009 University of London"
"CAMP,BILL","Senior Lecturer","Real Estate &amp; Urgan Land Econ","MBA 1992 Washington University"
"CAMPAGNOLA,PAUL","Professor","Biomedical Engineering","PHD 1992 Yale University"
"CAMPBELL,ANNA","Associate Professor","Gender And Women Studies","MFA 2006 Univ of Wisconsin-Madison"
"CAMPBELL,JEFFERY L","Instructor Of Mil Sci","Military Science","BS 2021 Excelsior College"
"CANON,DAVID","Professor","Political Science","PHD 1987 Univ of Minnesota-Twin Cities"
"CANTOR,JASON R.","Assistant Professor","Biochemistry","PHD 2010 University of Texas at Austin"
"CANTWELL,TONY","Assoc Lecturer","Accting &amp; Info Sys","MACC 2020 Univ of Wisconsin-Madison"
"CAPITINI,CHRISTIAN","Associate Professor","Pediatrics","MD 2002 University Of Rochester"
"CAPTAIN,AMANDA K","Asst Faculty Assoc","Computer Sciences","MS 2015 Edgewood College"
"CARAYON,PASCALE","Professor","Industrial &amp; Systems Engr","PHD 1988 Univ of Wisconsin-Madison"
"CARAZA-HARTER,TYLER RAY","Asst Faculty Assoc","Computer Sciences","PHD 2016 Univ of Wisconsin-Madison"
"CARCHMAN,EVIE","Assistant Professor","Surgery","MD 2006 Virginia Commonwealth Univ"
"CARDA,RONNIE DEAN","Faculty Associate","Kinesiology","PHD 1990 Univ of Wisconsin-Madison"
"CARDIFF,MICHAEL","Associate Professor","Geoscience","PHD 2010 Stanford University"
"CAREY,HANNAH V.","Professor","Comparative Biosciences","PHD 1983 Univ of California Davis"
"CARL,BRADLEY R","Lecturer","Ed Leadership&amp;Policy Analysis","PHD 2004 Michigan State University"
"CARLSMITH,DUNCAN","Professor","Physics","PHD 1984 University of Chicago"
"CARLSON,JANE","Adjunct Professor","Civil &amp; Environmental Engr","MS 1988 "
"CARLSON,MARCY","Professor","Sociology","PHD 1999 Univ of Michigan at Ann Arbor"
"CARLSSON,CYNTHIA MCDONNELL","Professor","Medicine","MD 1995 Univ of Michigan at Ann Arbor"
